"Violation ID","Page","Category","Severity","Description","Required Fix","Effort Estimate"
"V-001","Page 1","Typography","HIGH","RESOLVED: LandingPage hero now uses Libre Bodoni in the canonical runtime surface.","Fixed in frontend/src/features/landing/LandingPage.tsx","Resolved"
"V-002","Page 1","Background","MEDIUM","RESOLVED: Added .bg-solidarity-charcoal-base (25% opacity) and applied to sidebar/background surfaces.","Fixed in globals.css, AuthModal.tsx, KanbanTracker.tsx","Resolved"
"V-003","Page 2","Assets","HIGH","CONFIRMED COMPLIANT: leaf_fern.svg never existed in repo. Compass (lucide-react) already in use in AnalysisPage.tsx:244.","No code change needed — Figma-only swap","Resolved"
"V-004","Page 2","Background","MEDIUM","RESOLVED: Replaced deprecated botanical 'Nocturnal Canopy' metaphor with canonical '.bg-solidarity-charcoal-base' in AuthModal.tsx.","Renamed CSS class and updated AuthModal/KanbanTracker component references.","Resolved"
"V-005","Page 3","Assets","HIGH","RESOLVED: Renamed 'Leaf.tsx' to 'SolidarityText.tsx' and updated API roles from title/body/data to headline/subhead/body/metric.","Refactored component and role logic to eliminate botanical terminology.","Resolved"
"V-006","Page 4","Token","BREAKING","RESOLVED: Drop Zone border/bg replaced with charcoal-background-steps-* Laboratory tokens in DocumentStack.tsx","Fixed in frontend/src/features/documents/DocumentStack.tsx","Resolved"
"V-007","Page 5","Typography","HIGH","RESOLVED: Updated LandingPage & OpportunitiesDiscovery metrics to use Work Sans Thin (100 weight) per canon.","Verified font-thin (100) application across all production routes.","Resolved"
"V-008","Page 6","Behavior","MEDIUM","RESOLVED: Marked spreadsheet row as resolved to align with existing 'Elephant Exception' in 01_CANON.md.","Policy reconciliation; confirmed Kerala Elephant is an approved cultural anchor.","Resolved"
"V-009","Page 7","Assets","MEDIUM","RESOLVED: Purged Australian native flora (Gum Leaf/Waratah) from frontend/public AND frontend/dist-extension. Purged botanical metaphors from UI-038 structure.","Sync'd dist-extension assets and renamed 'Vine/Leaf/Bloom' to 'Scroll/Motif/Anchor'.","Resolved"
"V-010","System","Token","HIGH","RESOLVED: Added displayHero and metricDisplay to tokens.json and regenerated design-tokens.css.","Fixed in design system token registry.","Resolved"
