,,,,,,,
Consolidated AI-to-UI Mapping Plan,,,,,,,
Ref #,Feature Category,AI Feature,UI/UX Component Consideration,UI Component (React),AI Data Contract (JSON),Mapping Logic / Props,File Location
1,Profile & Resume Mgmt,AI-Powered Profile Analysis,Display AI-suggested skills as editable tags.,KeywordTagGroup,"{ skills: [{ text: string, status: 'suggested' }] }","The component maps over the skills array, rendering a KeywordTag for each with status=""suggested"".",ProfileEditor.tsx
2,,,Include accept/reject/modify controls for each skill tag.,Button (within KeywordTag),N/A (Triggers API call),The KeywordTag will have onAdd and onRemove props that fire events to update the user's profile data.,KeywordTag.tsx
3,,,Show a loading indicator during initial profile analysis.,LoadingProfileCard,N/A (UI State),A boolean isLoading state conditionally renders the skeleton component while fetching data.,Dashboard.tsx
4,,Intelligent Document Parsing,"Design a clear, drag-and-drop file upload component.",Custom component using Card & Input,N/A (User Input),The component manages local file state and triggers an API call on upload.,UploadResume.tsx
5,,,Display a progress bar while the AI is processing the file.,Progress,N/A (Upload Progress),The value prop is bound to the file upload progress (0-100).,UploadResume.tsx
6,,,"Present extracted data in a ""Review and Confirm"" modal.",Dialog or AnimatedModal,"{ personalInfo: {...}, experience: [...], skills: [...] }",The parsed data object from the AI populates the initial state of the form fields within the modal.,ProfileEditor.tsx
7,,,Ensure every field in the confirmation modal is editable.,"Input, Textarea",N/A,"The modal's form fields are bound to React state, allowing the user to override any AI-extracted data before saving.",ProfileEditor.tsx
8,,AI-Generated Resume Variations,Use a card-based layout to select the target role.,ProfileVariationCard,"{ profiles: [{ id, name, ... }] }","The component maps over an array of profiles, rendering a clickable card for each.",Dashboard.tsx
9,,,Display the list of generated variations with clear labels.,ProfileVariationCard,"{ profile_name, last_modified }",The profile_name and last_modified props are displayed directly on the card.,ProfileVariationCard.tsx
10,,,Implement a live preview panel.,Card with an <iframe> or div,{ document_html: string },The document_html from the AI is rendered inside the preview panel using dangerouslySetInnerHTML.,ResumeBuilder.tsx
11,Application Doc Generation,Tailored Resume Generation,Design a two-panel interface for job description and resume.,ResizablePanelGroup,N/A,Use the resizable component to create the side-by-side layout for input and output.,ResumeBuilder.tsx
12,,,Visually highlight AI-inserted keywords.,Custom text renderer,"{ resume_text, highlights: [{ text, type }] }",The component parses the response and wraps highlighted keywords in a <span> with a specific CSS class.,ResumeBuilder.tsx
13,,,"Create a prominent ""Generate"" call-to-action button.",AnimatedButton,N/A,The button's onClick triggers the AI generation flow and enters a loading state.,ResumeBuilder.tsx
14,,Personalized Cover Letters,Provide a rich text editor for review and editing.,Textarea or a library like Tiptap,{ cover_letter_text: string },The cover_letter_text from the AI is used as the initial value for the editor.,ResumeBuilder.tsx
15,,,"Include a ""Tone"" slider or dropdown to fine-tune output.",Slider or Select,N/A (Input to AI),"The selected value (formal, casual) is passed as a parameter in the API request to the AI.",ResumeBuilder.tsx
16,,,"Display a ""voice match"" confidence score.",ATSScoreCircle or Badge,{ voice_match_score: number },"The score prop is passed to the component, which visualizes the percentage.",ResumeBuilder.tsx
17,,KSC Responses,Automatically detect and list each Key Selection Criterion.,Card with a list,"{ criteria: [{ id, text }] }",The component maps over the criteria array returned by the AI and displays each item.,ResumeBuilder.tsx
18,,,"Place a ""Generate Response"" button next to each criterion.",Button,N/A (Triggers AI),Each button in the list has an onClick that sends that specific criterion's id to the AI.,ResumeBuilder.tsx
19,,,Each generated response appears in its own text area.,Textarea,{ response: string },"When a response is received, it updates the state for the corresponding text area.",ResumeBuilder.tsx
20,,Authentic Voice Generation,Display AI-detected voice profile attributes in Settings.,Card with Badges,"{ voice_profile: { tone: string, vocab_level: string } }",The voice_profile object's values are rendered as text or badges inside a settings card.,Settings.tsx
21,,,Add a button to re-analyze documents.,Button,N/A (Triggers AI),The onClick handler triggers a Genkit flow to re-process the user's documents.,Settings.tsx
22,Resume Analysis & Scoring,ATS Scoring,Design a dedicated analysis dashboard page.,ATSAnalysisDashboard.tsx,N/A,This component will be the main container for all scoring and analysis UI.,ATSAnalysisDashboard.tsx
23,,,Use a circular progress bar for the overall ATS score.,ATSScoreCircle,{ overallScore: number },The score prop directly drives the visual state of the component.,ATSAnalysisDashboard.tsx
24,,,Use labeled progress bars for the score breakdown.,Progress with Label,"{ categories: [{ name: string, score: number }] }","Map over the categories array, rendering a labeled Progress bar for each item.",ATSAnalysisDashboard.tsx
